Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.81855257230368E-05,0.0036855956860619,-0.0826153899028331,0,0,0,0.260034351097693,0.000223659755666589,-1.13436481934473E-06,5.34309354519849E-07,0.000266799681483547,1.40944118648867E-05,0.000132857769181899,0,0,0,0,0,0,package://urdf_left_12_20/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/base_link.STL,,镜向选准踢踢踢腿-1;镜向四代手接插件(6).step-1;镜向航插-1;镜向法兰franka-1;镜向侧摆齿条-1;镜向弯曲齿条-1;镜向骨架组件-1;镜向027掌心力控模型1-1;镜向BF350-8KA-F-V4-四指-1;镜向手掌外观0910.stp-1;镜向零件1-3;镜向零件1-2;镜向零件1-1;镜向027掌心力控模型-1;镜向力控球轴承-球笼A-2;镜向最新027力控版本-1;镜向力控球轴承-球笼A-1;镜向力控球轴承-球笼A-4;镜向最新027力控版本2-1;镜向最新027力控版本1-1;镜向垫圈-1;镜向力控球轴承-球笼A-3;镜向最新027力控版本3-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_1,0.00178423404495211,-0.000649404577309123,-0.0031358931043441,0,0,0,0.00115518743162309,5.98912200501135E-08,-8.04315731947437E-09,-3.29346919841095E-09,4.07201234589857E-08,1.19872544716431E-09,6.18161684388651E-08,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_1.STL,,镜向摆杆家那件-1,坐标系2,基准轴1,right_thumb_1_joint,revolute,0.0269,-0.02101,-0.07075,0,0,0,base_link,0,0,-1,1,100,0,1,,,,,,,,
left_thumb_2,0.0141077165126408,0.013272947664556,0.00905027694248729,0,0,0,0.00645133585639291,1.06585698719649E-06,-7.62263321516971E-08,2.95033226564006E-11,1.06558155578278E-06,1.55271585897891E-11,1.39709651951733E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_2.STL,,镜向DMZ-1/镜向拇指近端-1,坐标系3,基准轴2,left_thumb_2_joint,revolute,0.0063016,-0.011924,-0.00125,-1.5708,0,-0.34907,left_thumb_1,0,0,-1,1,100,0,1,,,,,,,,
left_thumb_3,0.0175210608796189,-0.000458783419545392,0.00589186777098984,0,0,0,0.00397801090682235,4.67948369620491E-07,-4.4974688607358E-08,1.01425359574474E-11,3.98794196148187E-07,2.07037920898898E-10,4.24723917424999E-07,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_3.STL,,镜向DMZ-1/镜向拇指中节-1,坐标系13,基准轴3,left_thumb_3_joint,revolute,0.026828,0.02583,0.00315,0,0,0,left_thumb_2,0,0,-1,1,100,0,1,,,,,,,,
left_thumb_4,0.0159972574626049,0.0063105797700872,0.0073433144647696,0,0,0,0.00913054563096997,6.4362640059723E-07,-2.57376746969386E-07,-8.63129696542143E-10,7.63678708562786E-07,-7.21288836303217E-10,9.2570163408105E-07,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_thumb_4.STL,,镜向DMZ-1/镜向拇指指-1,坐标系4,基准轴4,left_thumb_4_joint,revolute,0.027027,0.0069965,-0.00145,0,0,0,left_thumb_3,0,0,-1,1,100,0,1,,,,,,,,
left_index_1,-0.00183599258071257,0.0123544163382434,-0.00665152565125451,0,0,0,0.0071995003148682,1.28363093823079E-06,4.22091506924093E-08,-1.1741465013013E-12,5.79447850871435E-07,-8.63816965731366E-11,1.32914845722975E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_index_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_index_1.STL,,镜向中节组合-2,坐标系11,基准轴11,left_index_1_joint,revolute,0.025387,-0.00056467,-0.15686,-1.6057,0,1.5708,base_link,0,0,1,1,100,0,1,,,,,,,,
left_index_2,0.000405420051948283,0.0257003783460073,-0.00610830787560272,0,0,0,0.00968688267109518,2.25563043691857E-06,4.11282885240034E-07,3.87338024122588E-10,3.91279806505403E-07,-2.76559043550419E-09,2.30247359295784E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_index_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_index_2.STL,,镜向食指尖组合件-1,坐标系12,基准轴12,left_index_2_joint,revolute,-0.0016312,0.032734,-0.00055,0,0,0,left_index_1,0,0,1,1,100,0,1,,,,,,,,
left_middle_1,-0.00229271394242232,0.0122778605414752,-0.00665151068667683,0,0,0,0.00719950322487974,1.27951858905779E-06,6.81813021711596E-08,1.58551121583499E-12,5.83543537428452E-07,-8.56179612608701E-11,1.32913234511164E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_middle_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_middle_1.STL,,镜向中节组合-3,坐标系9,基准轴9,left_middle_1_joint,revolute,0.0037996,-0.00056467,-0.157,-1.5708,0,1.5708,base_link,0,0,1,1,100,0,1,,,,,,,,
left_middle_2,7.51983994427274E-05,0.027448753770842,-0.00610022997575017,0,0,0,0.0104611931926301,2.75831931773332E-06,4.66412841401028E-07,7.35766561775226E-12,4.22466538741155E-07,-1.79608426686769E-11,2.80722617348706E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_middle_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_middle_2.STL,,镜向中指指尖组合-1,坐标系10,基准轴10,left_middle_2_joint,revolute,-0.0028436,0.032651,-0.00055,0,0,0,left_middle_1,0,0,1,1,100,0,1,,,,,,,,
left_ring_1,-0.00240530428455066,0.0122563079467745,-0.00665150968297497,0,0,0,0.00719949770218712,1.27820682409824E-06,7.45572429780093E-08,2.25718181808859E-12,5.84853511073517E-07,-8.56222330411309E-11,1.32913088941838E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_ring_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_ring_1.STL,,镜向中节组合-4,坐标系7,基准轴7,left_ring_1_joint,revolute,-0.017813,-0.00056467,-0.15614,-1.5184,0,1.5708,base_link,0,0,1,1,100,0,1,,,,,,,,
left_ring_2,0.000667145407605998,0.0256949163202511,-0.00610829894053159,0,0,0,0.00968685177133057,2.26381138740299E-06,3.92210300202205E-07,3.58404653503583E-10,3.83095000534084E-07,-2.77027363965469E-09,2.30247104599333E-06,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_ring_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_left_12_20/meshes/left_ring_2.STL,,镜向食指尖组合件-2,坐标系8,基准轴8,left_ring_2_joint,revolute,-0.0031431,0.032624,-0.00055,0,0,0,left_ring_1,0,0,1,1,100,0,1,,,,,,,,
