Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00043263,-3.2791E-05,0.059984,0,0,0,0.84048,0.001724,2.4863E-06,-3.6767E-05,0.0017077,1.7187E-06,0.00090401,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/base_link.STL,,RM65-B(2)^RM65-B-2/____1-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,1.4674E-07,0.021109,-0.025186,0,0,0,0.59356,0.0012661,-1.2311E-08,-1.0059E-08,0.0011817,-0.00021122,0.00056135,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_1.STL,,RM65-B(2)^RM65-B-2/____2-1,Link1,axis1,joint_1,revolute,0,0,0.2405,0,0,0,base_link,0,0,-1,60,3.14,-3.106,3.106,,,,,,,,
Link_2,0.15226,4.2499E-07,-0.0062026,0,0,0,0.86418,0.00063253,-8.8019E-09,0.00042163,0.0020527,2.3805E-09,0.0019528,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_2.STL,,RM65-B(2)^RM65-B-2/____3-1;RM65-B(2)^RM65-B-2/____4-1,Link2,axis2,joint_2,revolute,0,0,0,1.5708,-1.5708,0,Link_1,0,0,1,60,3.14,-2.269,2.269,,,,,,,,
Link_3,4.8002E-06,-0.059593,0.010569,0,0,0,0.28965,0.00063737,-5.9731E-08,-3.331E-08,0.00015649,-0.00014461,0.00061418,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_3.STL,,RM65-B(2)^RM65-B-2/____5-1,Link3,axis3,joint_3,revolute,0.256,0,0,0,0,1.5708,Link_2,0,0,1,30,3.14,-2.356,2.356,,,,,,,,
Link_4,2.1531E-06,-0.018042,-0.021539,0,0,0,0.23942,0.00028594,2.854E-09,-1.9595E-09,0.00026273,4.4237E-05,0.00011989,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_4.STL,,RM65-B(2)^RM65-B-2/____6-1,Link4,axis4,joint_4,revolute,0,-0.21,0,1.5708,0,0,Link_3,0,0,-1,10,3.14,-3.106,3.106,,,,,,,,
Link_5,4.5765E-06,-0.059382,0.0073678,0,0,0,0.21879,0.00035053,-3.1704E-08,-1.7465E-08,0.00010492,-7.824E-05,0.00033447,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_5.STL,,RM65-B(2)^RM65-B-2/____7-1,Link5,axis5,joint_5,revolute,0,0,0,-1.5708,0,0,Link_4,0,0,1,10,3.14,-2.234,2.234,,,,,,,,
Link_6,0.00081643,1.3298E-05,-0.012705,0,0,0,0.065035,2.1143E-05,-2.2878E-08,-2.5601E-08,1.811E-05,-1.0178E-08,3.19E-05,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_6.STL,,RM65-B(2)^RM65-B-2/__________ ______-1,Link6,axis6,joint_6,revolute,0,-0.144,0,1.5708,0,0,Link_5,0,0,1,10,3.14,-6.28,6.28,,,,,,,,
gripper_base_link,-6.7908E-06,-3.0546E-06,0.038387,0,0,0,0.07993,6.2249E-05,-5.6831E-09,-4.5401E-09,5.235E-05,-2.0297E-08,2.2082E-05,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/gripper_base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/gripper_base_link.STL,,4C2转接板-1;EG2-4C2(2)^EG2-4C2-1/EG2-4C2-01-1,gripper_base_link,gripper_base_axis,gripper_base_joint,fixed,0,0,-0.001,0,0,0.52157,Link_6,0,0,0,,,,,,,,,,,,
Link_7,0.009,-0.0087669,0.013992,0,0,0,0.0024292,5.7398E-07,8.6673E-19,-1.3659E-18,5.1061E-07,2.508E-07,2.6747E-07,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_7.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_7.STL,,EG2-4C2(2)^EG2-4C2-1/EG2-4C2-03-1,Link7,axis7,joint_7,revolute,-0.009,0.04,0.083,0,0,0,gripper_base_link,-1,0,0,1,1,0,0.82,,,,,,,,
Link_11,0.009,-0.011864,0.011367,0,0,0,0.0045068,5.3203E-07,9.5605E-14,-5.8579E-14,5.1288E-07,9.4703E-08,2.009E-07,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_11.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_11.STL,,EG2-4C2(2)^EG2-4C2-1/EG2-4C2-07-1,Link11,axis11,joint_11,revolute,0,-0.0223,0.035591,0,0,0,Link_7,1,0,0,1,1,0,0.82,,,,,,,,
Link_8,0.009,-0.0087435,0.013955,0,0,0,0.0038971,6.2305E-07,1.0706E-18,-1.6842E-18,5.6941E-07,2.6891E-07,3.0871E-07,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_8.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://RM65B_EG24C2_description/meshes/Link_8.STL,,EG2-4C2(2)^EG2-4C2-1/EG2-4C2-02-1,Link8,axis8,joint_8,revolute,-0.009,0.03,0.085,0,0,0,gripper_base_link,-1,0,0,1,1,0,0.82,,,,,,,,
